,no_of_months,no_of_commits,congruences
<<<<<<< Updated upstream
0,1,6,0.44
1,2,64,0.5294117647058824
2,3,51,0.3333333333333333
3,4,318,0.2962962962962963
4,5,544,0.47368421052631576
5,6,755,0.5256588072122053
6,7,668,0.5391400220507166
7,8,493,0.5567567567567567
8,9,241,0.6058700209643606
9,10,219,0.4605263157894737
10,11,185,0.5644699140401146
11,12,371,0.5421245421245421
12,13,298,0.5390334572490706
13,14,194,0.5814977973568282
14,15,114,0.6214285714285714
15,16,118,0.5933147632311978
16,17,93,0.5466666666666666
17,18,44,0.5333333333333333
18,19,61,0.6167664670658682
19,20,128,0.5657276995305164
20,21,211,0.5800904977375566
21,22,148,0.702020202020202
22,23,102,0.7430555555555556
23,24,153,0.7611788617886179
24,25,187,0.6630769230769231
25,26,234,0.7410343525858815
26,27,122,0.6846846846846847
27,28,141,0.7199533255542591
28,29,145,0.8498387839705205
29,30,184,0.708507670850767
30,31,113,0.671875
31,32,115,0.5777126099706745
32,33,158,0.6891495601173021
33,34,144,0.5223463687150838
34,35,184,0.5868917576961271
35,36,109,0.6163522012578616
36,37,126,0.6260355029585799
37,38,183,0.6658536585365854
38,39,164,0.5720164609053497
39,40,125,0.6284470246734397
40,41,193,0.605568445475638
41,42,182,0.4584139264990329
42,43,163,0.6097560975609756
43,44,130,0.5540983606557377
44,45,131,0.6434108527131783
45,46,208,0.6343115124153499
46,47,94,0.49825783972125437
47,48,132,0.5651135005973715
48,49,94,0.6838046272493573
49,50,101,0.535181236673774
50,51,103,0.7113665389527458
51,52,134,0.6346483704974271
52,53,85,0.6327868852459017
53,54,95,0.67
54,55,103,0.7086330935251799
55,56,137,0.6882453151618398
56,57,128,0.7035803497085762
57,58,124,0.6449834619625138
58,59,104,0.5423076923076923
59,60,83,0.46923076923076923
60,61,128,0.6450331125827815
61,62,122,0.6463262764632628
62,63,51,0.6240601503759399
63,64,117,0.715292459478506
64,65,90,0.6093489148580968
65,66,67,0.7647058823529411
66,67,59,0.5769230769230769
67,68,75,0.6406779661016949
68,69,71,0.5407407407407407
69,70,64,0.625615763546798
70,71,65,0.5934065934065934
71,72,42,0.5463917525773195
72,73,14,0.25
73,74,26,0.4339622641509434
74,75,29,0.7083333333333334
75,76,23,0.47368421052631576
76,77,19,0.6666666666666666
77,78,19,0.42857142857142855
78,79,13,0.6
79,80,18,0.6
80,81,25,0.5384615384615384
81,82,46,0.5728155339805825
82,83,27,0.5454545454545454
83,84,3,1.0
=======
0,0,6,0.43209876543209874
1,1,63,0.2777777777777778
2,2,50,0.52
3,3,317,0.2413793103448276
4,4,543,0.44
5,5,754,0.42105263157894735
6,6,667,0.4375
7,7,492,0.4864864864864865
8,8,240,0.5824175824175825
9,9,218,0.5342465753424658
10,10,184,0.5211267605633803
11,11,370,0.2564102564102564
12,12,297,0.3877551020408163
13,13,193,0.40350877192982454
14,14,113,0.5842696629213483
15,15,117,0.4626865671641791
16,16,92,0.4375
17,17,43,0.4166666666666667
18,18,60,0.47126436781609193
19,19,127,0.5428571428571428
20,20,210,0.49295774647887325
21,21,147,0.4823529411764706
22,22,101,0.46236559139784944
23,23,152,0.5652173913043478
24,24,186,0.38461538461538464
25,25,233,0.6435643564356436
26,26,121,0.4492753623188406
27,27,140,0.39622641509433965
28,28,144,0.5555555555555556
29,29,183,0.49056603773584906
30,30,112,0.5533980582524272
31,31,114,0.4915254237288136
32,32,157,0.4
33,33,143,0.5434782608695652
34,34,183,0.5254237288135594
35,35,108,0.6028880866425993
36,36,125,0.49056603773584906
37,37,182,0.6693877551020408
38,38,163,0.6180555555555556
39,39,124,0.5176470588235295
40,40,192,0.517426273458445
41,41,181,0.6088328075709779
42,42,162,0.5558659217877095
43,43,129,0.4418604651162791
44,44,130,0.6862123613312203
45,45,207,0.609271523178808
46,46,93,0.7109947643979058
47,47,131,0.7616229923922232
48,48,93,0.6485148514851485
49,49,100,0.6417391304347826
50,50,102,0.6633663366336634
51,51,133,0.6752411575562701
52,52,84,0.6684491978609626
53,53,94,0.7278911564625851
54,54,102,0.8079231692677071
55,55,136,0.6128
56,56,127,0.6363636363636364
57,57,123,0.6506329113924051
58,58,103,0.5815217391304348
59,59,82,0.6495238095238095
60,60,127,0.47113594040968343
61,61,121,0.5930735930735931
62,62,50,0.6277495769881557
63,63,116,0.6900931414055885
64,64,89,0.639549436795995
65,65,66,0.6786079836233367
66,66,58,0.48242811501597443
67,67,74,0.6052202283849919
68,68,70,0.6576354679802956
69,69,63,0.5902061855670103
70,70,64,0.48775055679287305
71,71,41,0.43984220907297833
72,72,13,0.5992217898832685
73,73,25,0.5452538631346578
74,74,28,0.628428927680798
75,75,22,0.5850467289719626
76,76,18,0.6244784422809457
77,77,18,0.56353591160221
78,78,12,0.5317997293640054
79,79,17,0.6806387225548902
80,80,24,0.5660091047040972
81,81,45,0.7579113924050633
82,82,26,0.6245883644346871
>>>>>>> Stashed changes
