,no_of_months,no_of_commits,congruences
<<<<<<< Updated upstream
0,1,184,0.25
1,2,121,0.3333333333333333
2,3,120,0.3333333333333333
3,4,60,0.5
4,5,149,0.5
5,6,94,0.3333333333333333
6,7,48,0.5
7,8,112,0.5
8,9,59,0.3333333333333333
9,10,76,0.5
10,11,14,0.6
11,12,120,0.3333333333333333
12,13,113,0.5555555555555556
13,14,47,0.3333333333333333
14,15,177,0.36
15,16,108,0.4
16,17,167,0.42857142857142855
17,18,29,0.25
18,19,155,0.3333333333333333
19,20,164,0.4
20,21,122,0.5555555555555556
21,22,166,0.26666666666666666
22,23,246,0.4567901234567901
23,24,259,0.34615384615384615
24,25,194,0.25
25,26,274,0.2903225806451613
26,27,185,0.48148148148148145
27,28,259,0.30666666666666664
28,29,65,0.52
29,30,70,0.3411764705882353
30,31,45,0.5038759689922481
31,32,57,0.30612244897959184
32,33,87,0.5172413793103449
33,34,133,0.6296296296296297
34,35,42,0.5151515151515151
35,36,75,0.2807017543859649
36,37,57,0.5
37,38,56,0.42574257425742573
38,39,55,0.5302013422818792
39,40,36,0.4925373134328358
40,41,92,0.5539033457249071
41,42,51,0.3422818791946309
42,43,77,0.5903614457831325
43,44,74,0.32038834951456313
44,45,74,0.48872180451127817
45,46,66,0.5759717314487632
46,47,55,0.5838509316770186
47,48,67,0.5305164319248826
48,49,97,0.24401913875598086
49,50,86,0.5705263157894737
50,51,74,0.36645962732919257
51,52,40,0.43859649122807015
52,53,63,0.5384615384615384
53,54,70,0.4823529411764706
54,55,56,0.5070422535211268
55,56,38,0.6578947368421053
56,57,54,0.2631578947368421
57,58,63,0.6388261851015802
58,59,84,0.5670731707317073
59,60,47,0.46710526315789475
60,61,71,0.4731182795698925
61,62,70,0.2462526766595289
62,63,63,0.3055141579731744
63,64,55,0.1597444089456869
64,65,66,0.1977715877437326
65,66,75,0.3607305936073059
66,67,75,0.40976645435244163
67,68,70,0.35103244837758113
68,69,61,0.2821917808219178
69,70,60,0.10487444608567208
70,71,53,0.043327556325823226
71,72,68,0.27624309392265195
72,73,47,0.3900709219858156
73,74,58,0.49282296650717705
74,75,39,0.25190839694656486
75,76,0,0.0
=======
0,0,184,0.25
1,1,120,0.3333333333333333
2,2,119,0.3333333333333333
3,3,59,0.42857142857142855
4,4,148,0.5
5,5,93,0.3333333333333333
6,6,47,0.5
7,7,111,0.5
8,8,58,1.0
9,9,75,0.5
10,10,13,0.3333333333333333
11,11,119,0.5
12,12,112,0.5
13,13,46,0.3333333333333333
14,14,176,0.5
15,15,107,0.5555555555555556
16,16,166,0.5555555555555556
17,17,28,0.5555555555555556
18,18,154,0.5
19,19,163,0.3333333333333333
20,20,121,0.3333333333333333
21,21,165,0.4
22,22,245,0.4
23,23,258,0.3333333333333333
24,24,193,0.2631578947368421
25,25,273,0.29411764705882354
26,26,184,0.2631578947368421
27,27,258,0.3333333333333333
28,28,64,0.3333333333333333
29,29,69,0.4
30,30,44,0.5555555555555556
31,31,56,0.5555555555555556
32,32,86,0.5555555555555556
33,33,132,0.6
34,34,41,0.21428571428571427
35,35,74,0.2413793103448276
36,36,56,0.5102040816326531
37,37,55,0.59375
38,38,54,0.375
39,39,35,0.29411764705882354
40,40,91,0.38461538461538464
41,41,50,0.42857142857142855
42,42,76,0.4117647058823529
43,43,73,0.6
44,44,73,0.3333333333333333
45,45,65,0.5
46,46,54,0.45454545454545453
47,47,66,0.45454545454545453
48,48,96,0.42857142857142855
49,49,85,0.4117647058823529
50,50,73,0.45454545454545453
51,51,39,0.5714285714285714
52,52,62,0.3333333333333333
53,53,69,0.45454545454545453
54,54,55,0.6
55,55,37,0.3333333333333333
56,56,53,0.52
57,57,62,0.32653061224489793
58,58,83,0.559322033898305
59,59,46,0.52
60,60,70,0.5
61,61,69,0.5362318840579711
62,62,62,0.5555555555555556
63,63,54,0.5185185185185185
64,64,65,0.4626865671641791
65,65,74,0.4953271028037383
66,66,74,0.5346534653465347
67,67,69,0.6228070175438597
68,68,60,0.4307692307692308
69,69,59,0.47465437788018433
70,70,52,0.45535714285714285
71,71,67,0.3783783783783784
72,72,46,0.4956521739130435
73,73,57,0.5573122529644269
74,74,38,0.5947368421052631
>>>>>>> Stashed changes
